No,No
Previous,Previous
Position,Position
"Shop By","Shop By"
"Shopping Options","Shopping Options"
"Remove This Item","Remove This Item"
"Clear All","Clear All"
"Use In Layered Navigation","Utilizar en navegación en capas"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Filterable (with results)","Filterable (with results)"
"Filterable (no results)","Filterable (no results)"
"Use In Search Results Layered Navigation","Utilizar en la navegación por capas de los resultados de búsqueda"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Use in Layered Navigation","Use in Layered Navigation"
"Currently Shopping by:","Currently Shopping by:"
